cityname,provincename,countryname
Balcarce,Ciudad de Buenos Aires,Argentina
25 de Mayo,Río Negro,Argentina
General Roca,Río Negro,Argentina
Comallo,Río Negro,Argentina
Ingeniero Jacobacci,Río Negro,Argentina
General Conesa,Río Negro,Argentina
Choele Choel,Río Negro,Argentina
San Francisco,Córdoba,Argentina
Alta Gracia,Córdoba,Argentina
Villa Maria,Córdoba,Argentina
Bell Ville,Córdoba,Argentina
Villa Rumipal,Córdoba,Argentina
Villa Carlos Paz,Córdoba,Argentina
Chumbicha,Catamarca,Argentina
Tinogasta,Catamarca,Argentina
Abra Pampa,Jujuy,Argentina
Humahuaca,Jujuy,Argentina
Susques,Jujuy,Argentina
Chepes,La Rioja,Argentina
Yacuiba,Salta,Argentina
Tartagal,Salta,Argentina
Joaquin V. Gonzalez,Salta,Argentina
General Guemes,Salta,Argentina
Trancas,Tucumán,Argentina
Presidencia Roque Saenz Pena,Chaco,Argentina
Pampa del Infierno,Chaco,Argentina
Villa Angela,Chaco,Argentina
Ingeniero Guillermo N. Juarez,Formosa,Argentina
Comandante Fontana,Formosa,Argentina
Doctor Pedro P. Pena,Formosa,Argentina
San Lorenzo,Corrientes,Argentina
Corrientes,Corrientes,Argentina
Concepcion del Uruguay,Entre Ríos,Argentina
Victoria,Entre Ríos,Argentina
Gualeguay,Entre Ríos,Argentina
Parana,Entre Ríos,Argentina
Villa Constitucion,Santa Fe,Argentina
Rafaela,Santa Fe,Argentina
Eldorado,Misiones,Argentina
Rodeo,San Juan,Argentina
Las Plumas,Chubut,Argentina
Gastre,Chubut,Argentina
Telsen,Chubut,Argentina
Malargue,Mendoza,Argentina
Tunuyan,Mendoza,Argentina
La Paz,Mendoza,Argentina
Chos Malal,Neuquén,Argentina
Las Lajas,Neuquén,Argentina
Zarate,Ciudad de Buenos Aires,Argentina
Carhue,Ciudad de Buenos Aires,Argentina
Darregueira,Ciudad de Buenos Aires,Argentina
Juarez,Ciudad de Buenos Aires,Argentina
Mar de Ajo,Ciudad de Buenos Aires,Argentina
Lobos,Ciudad de Buenos Aires,Argentina
Chascomus,Ciudad de Buenos Aires,Argentina
Junin,Ciudad de Buenos Aires,Argentina
La Plata,Ciudad de Buenos Aires,Argentina
Pergamino,Ciudad de Buenos Aires,Argentina
Lujan,Ciudad de Buenos Aires,Argentina
Azul,Ciudad de Buenos Aires,Argentina
Villalonga,Ciudad de Buenos Aires,Argentina
Victorica,La Pampa,Argentina
General Pico,La Pampa,Argentina
San Antonio Oeste,Río Negro,Argentina
Sierra Colorado,Río Negro,Argentina
Mercedes,San Luis,Argentina
Rio Tercero,Córdoba,Argentina
Belen,Catamarca,Argentina
Rinconada,Jujuy,Argentina
San Pedro,Jujuy,Argentina
Libertador General San Martin,Jujuy,Argentina
Chilecito,La Rioja,Argentina
Chamical,La Rioja,Argentina
Los Blancos,Salta,Argentina
Cafayate,Salta,Argentina
Cerrillos,Salta,Argentina
San Antonio de los Cobres,Salta,Argentina
Anatuya,Santiago del Estero,Argentina
Frias,Santiago del Estero,Argentina
Monte Quemado,Santiago del Estero,Argentina
Juan Jose Castelli,Chaco,Argentina
Charata,Chaco,Argentina
Las Lomitas,Formosa,Argentina
Mercedes,Corrientes,Argentina
Concordia,Entre Ríos,Argentina
Sunchales,Santa Fe,Argentina
San Justo,Santa Fe,Argentina
Vera,Santa Fe,Argentina
Reconquista,Santa Fe,Argentina
Venado Tuerto,Santa Fe,Argentina
Esquel,Chubut,Argentina
Zapala,Neuquén,Argentina
Olavarria,Ciudad de Buenos Aires,Argentina
Tandil,Ciudad de Buenos Aires,Argentina
Viedma,Ciudad de Buenos Aires,Argentina
San Luis,San Luis,Argentina
Rio Cuarto,Córdoba,Argentina
San Salvador de Jujuy,Jujuy,Argentina
San Ramon de la Nueva Oran,Salta,Argentina
Goya,Corrientes,Argentina
Puerto San Julian,Santa Cruz,Argentina
Perito Moreno,Santa Cruz,Argentina
Rio Grande,Tierra del Fuego,Argentina
Ushuaia,Tierra del Fuego,Argentina
Sarmiento,Chubut,Argentina
San Rafael,Mendoza,Argentina
Necochea,Ciudad de Buenos Aires,Argentina
Rio Colorado,La Pampa,Argentina
Catamarca,Catamarca,Argentina
La Rioja,La Rioja,Argentina
Santiago del Estero,Santiago del Estero,Argentina
Resistencia,Chaco,Argentina
Gualeguaychu,Entre Ríos,Argentina
El Calafate,Santa Cruz,Argentina
San Juan,San Juan,Argentina
Rawson,Chubut,Argentina
Neuquen,Neuquén,Argentina
Santa Rosa,La Pampa,Argentina
San Carlos de Bariloche,Río Negro,Argentina
Salta,Salta,Argentina
San Miguel de Tucuman,Tucumán,Argentina
Formosa,Formosa,Argentina
Santa Fe,Santa Fe,Argentina
Rosario,Santa Fe,Argentina
Puerto Deseado,Santa Cruz,Argentina
Rio Gallegos,Santa Cruz,Argentina
Comodoro Rivadavia,Chubut,Argentina
Mendoza,Mendoza,Argentina
Bahia Blanca,Ciudad de Buenos Aires,Argentina
Mar del Plata,Ciudad de Buenos Aires,Argentina
Cordoba,Córdoba,Argentina
Posadas,Misiones,Argentina
Buenos Aires,Ciudad de Buenos Aires,Argentina
Ashtarak,Aragatsotn,Armenia
Ijevan,Tavush,Armenia
Artashat,Ararat,Armenia
Gavarr,Gegharkunik,Armenia
Yeghegnadzor,Vayots Dzor,Armenia
Gyumri,Shirak,Armenia
Vanadzor,Lori,Armenia
Yerevan,Erevan,Armenia
Central Coast,New South Wales,Australia
Sunshine Coast,Queensland,Australia
Bourke,New South Wales,Australia
Pine Creek,Northern Territory,Australia
Adelaide River,Northern Territory,Australia
McMinns Lagoon,Northern Territory,Australia
Newcastle Waters,Northern Territory,Australia
Ravensthorpe,Western Australia,Australia
Wagin,Western Australia,Australia
Roebourne,Western Australia,Australia
Pannawonica,Western Australia,Australia
Tom Price,Western Australia,Australia
Kalbarri,Western Australia,Australia
Mount Magnet,Western Australia,Australia
Morawa,Western Australia,Australia
Port Denison,Western Australia,Australia
Merredin,Western Australia,Australia
Mount Barker,Western Australia,Australia
Katanning,Western Australia,Australia
Narrogin,Western Australia,Australia
Gingin,Western Australia,Australia
Bunbury,Western Australia,Australia
Kwinana,Western Australia,Australia
Southern Cross,Western Australia,Australia
Kaltukatjara,Northern Territory,Australia
Queanbeyan,Australian Capital Territory,Australia
Tweed Heads,New South Wales,Australia
Ivanhoe,New South Wales,Australia
Wilcannia,New South Wales,Australia
Merimbula,New South Wales,Australia
Echuca,New South Wales,Australia
Deniliquin,New South Wales,Australia
Nowra,New South Wales,Australia
Ulladulla,New South Wales,Australia
Batemans Bay,New South Wales,Australia
Cooma,New South Wales,Australia
Tumut,New South Wales,Australia
Leeton,New South Wales,Australia
Young,New South Wales,Australia
Cowra,New South Wales,Australia
Forbes,New South Wales,Australia
Goulburn,New South Wales,Australia
Kiama,New South Wales,Australia
Katoomba,New South Wales,Australia
Richmond,New South Wales,Australia
Lithgow,New South Wales,Australia
Parkes,New South Wales,Australia
Bathurst,New South Wales,Australia
Maitland,New South Wales,Australia
Singleton,New South Wales,Australia
Mudgee,New South Wales,Australia
Muswellbrook,New South Wales,Australia
Taree,New South Wales,Australia
Kempsey,New South Wales,Australia
Gunnedah,New South Wales,Australia
Coffs Harbour,New South Wales,Australia
Narrabri,New South Wales,Australia
Inverell,New South Wales,Australia
Yamba,New South Wales,Australia
Ballina,New South Wales,Australia
Wagga Wagga,New South Wales,Australia
Scone,New South Wales,Australia
Byron Bay,New South Wales,Australia
Berri,South Australia,Australia
Peterborough,South Australia,Australia
Wallaroo,South Australia,Australia
Clare,South Australia,Australia
Meningie,South Australia,Australia
Kingston South East,South Australia,Australia
Bordertown,South Australia,Australia
Penola,South Australia,Australia
Kingoonya,South Australia,Australia
Kimba,South Australia,Australia
Streaky Bay,South Australia,Australia
Cowell,South Australia,Australia
Tumby Bay,South Australia,Australia
Andamooka,South Australia,Australia
Woomera,South Australia,Australia
Port Pirie,South Australia,Australia
Gawler,South Australia,Australia
Murray Bridge,South Australia,Australia
Victor Harbor,South Australia,Australia
Hamilton,Victoria,Australia
Ouyen,Victoria,Australia
Colac,Victoria,Australia
Stawell,Victoria,Australia
Horsham,Victoria,Australia
Ararat,Victoria,Australia
Maryborough,Victoria,Australia
Bairnsdale,Victoria,Australia
Sale,Victoria,Australia
Traralgon,Victoria,Australia
Wonthaggi,Victoria,Australia
Cranbourne,Victoria,Australia
Ballarat,Victoria,Australia
Melton,Victoria,Australia
Seymour,Victoria,Australia
Shepparton,Victoria,Australia
Cobram,Victoria,Australia
Swan Hill,Victoria,Australia
Sunbury,Victoria,Australia
Proserpine,Queensland,Australia
Theodore,Queensland,Australia
Eidsvold,Queensland,Australia
Barcaldine,Queensland,Australia
Winton,Queensland,Australia
Longreach,Queensland,Australia
Caboolture,Queensland,Australia
Warwick,Queensland,Australia
Kingaroy,Queensland,Australia
Dalby,Queensland,Australia
Bongaree,Queensland,Australia
Gympie,Queensland,Australia
Ingham,Queensland,Australia
Birdsville,Queensland,Australia
Bedourie,Queensland,Australia
Boulia,Queensland,Australia
Richmond,Queensland,Australia
Burketown,Queensland,Australia
Hervey Bay,Queensland,Australia
Biloela,Queensland,Australia
Yeppoon,Queensland,Australia
Emerald,Queensland,Australia
Moranbah,Queensland,Australia
Charters Towers,Queensland,Australia
Ayr,Queensland,Australia
Atherton,Queensland,Australia
Port Douglas,Queensland,Australia
Smithton,Tasmania,Australia
Scottsdale,Tasmania,Australia
Bicheno,Tasmania,Australia
Oatlands,Tasmania,Australia
Queenstown,Tasmania,Australia
Kingston,Tasmania,Australia
Tennant Creek,Northern Territory,Australia
Yulara,Northern Territory,Australia
Erldunda,Northern Territory,Australia
Norseman,Western Australia,Australia
Halls Creek,Western Australia,Australia
Kununurra,Western Australia,Australia
Derby,Western Australia,Australia
Onslow,Western Australia,Australia
Exmouth,Western Australia,Australia
Carnarvon,Western Australia,Australia
Newman,Western Australia,Australia
Meekatharra,Western Australia,Australia
Three Springs,Western Australia,Australia
Manjimup,Western Australia,Australia
Northam,Western Australia,Australia
Esperance,Western Australia,Australia
Leonara,Western Australia,Australia
Laverton,Western Australia,Australia
Wyndham,Western Australia,Australia
Albury,New South Wales,Australia
Forster-Tuncurry,New South Wales,Australia
Port Macquarie,New South Wales,Australia
Tamworth,New South Wales,Australia
Grafton,New South Wales,Australia
Moree,New South Wales,Australia
Goondiwindi,New South Wales,Australia
Lismore,New South Wales,Australia
Wollongong,New South Wales,Australia
Ceduna,South Australia,Australia
Mount Gambier,South Australia,Australia
Port Augusta,South Australia,Australia
Warrnambool,Victoria,Australia
Mildura,Victoria,Australia
Geelong,Victoria,Australia
Camooweal,Queensland,Australia
Quilpie,Queensland,Australia
Charleville,Queensland,Australia
Hughenden,Queensland,Australia
Caloundra,Queensland,Australia
Roma,Queensland,Australia
Toowoomba,Queensland,Australia
Georgetown,Queensland,Australia
Thargomindah,Queensland,Australia
Weipa,Queensland,Australia
Karumba,Queensland,Australia
Cloncurry,Queensland,Australia
Maryborough,Queensland,Australia
Bundaberg,Queensland,Australia
Gladstone,Queensland,Australia
Bowen,Queensland,Australia
Innisfail,Queensland,Australia
Mackay,Queensland,Australia
Burnie,Tasmania,Australia
Launceston,Tasmania,Australia
Katherine,Northern Territory,Australia
Busselton,Western Australia,Australia
Mandurah,Western Australia,Australia
Broome,Western Australia,Australia
Kalgoorlie,Western Australia,Australia
Albany,Western Australia,Australia
Port Hedland,Western Australia,Australia
Karratha,Western Australia,Australia
Geraldton,Western Australia,Australia
Griffith,New South Wales,Australia
Orange,New South Wales,Australia
Dubbo,New South Wales,Australia
Armidale,New South Wales,Australia
Broken Hill,New South Wales,Australia
Port Lincoln,South Australia,Australia
Whyalla,South Australia,Australia
Portland,Victoria,Australia
Bendigo,Victoria,Australia
Wangaratta,Victoria,Australia
Windorah,Queensland,Australia
Mount Isa,Queensland,Australia
Rockhampton,Queensland,Australia
Cairns,Queensland,Australia
Gold Coast,Queensland,Australia
Devonport,Tasmania,Australia
Darwin,Northern Territory,Australia
Alice Springs,Northern Territory,Australia
Canberra,Australian Capital Territory,Australia
Newcastle,New South Wales,Australia
Adelaide,South Australia,Australia
Townsville,Queensland,Australia
Brisbane,Queensland,Australia
Hobart,Tasmania,Australia
Perth,Western Australia,Australia
Melbourne,Victoria,Australia
Sydney,New South Wales,Australia
Bregenz,Vorarlberg,Austria
Eisenstadt,Burgenland,Austria
Wiener Neustadt,Niederösterreich,Austria
Graz,Steiermark,Austria
Klagenfurt,Kärnten,Austria
Linz,Oberösterreich,Austria
Passau,Oberösterreich,Austria
Salzburg,Salzburg,Austria
Innsbruck,Tirol,Austria
Vienna,Wien,Austria
Gadabay,Gadabay,Azerbaijan
Goranboy,Goranboy,Azerbaijan
Tovuz,Tovuz,Azerbaijan
Agdam,Tovuz,Azerbaijan
Qabala,Qabala,Azerbaijan
Oguz,Oguz,Azerbaijan
Ganca,Ganca,Azerbaijan
Yevlax,Yevlax,Azerbaijan
Sumqayt,Sumqayit,Azerbaijan
Ali Bayramli,?li Bayramli,Azerbaijan
Goycay,Göyçay,Azerbaijan
Lankaran,Astara,Azerbaijan
Saki,S?ki,Azerbaijan
Stepanakert,Xocali,Azerbaijan
Kapan,Z?ngilan,Azerbaijan
Naxcivan,Naxçivan,Azerbaijan
Baku,Baki,Azerbaijan
Tangail,Dhaka,Bangladesh
Sylhet,Sylhet,Bangladesh
Mymensingh,Dhaka,Bangladesh
Jamalpur,Dhaka,Bangladesh
Narayanganj,Dhaka,Bangladesh
Jessore,Khulna,Bangladesh
Barisal,Barisal,Bangladesh
Comilla,Chittagong,Bangladesh
Pabna,Rajshahi,Bangladesh
Nawabganj,Rajshahi,Bangladesh
Saidpur,Rajshahi,Bangladesh
Rangpur,Rajshahi,Bangladesh
Khulna,Khulna,Bangladesh
Rajshahi,Rajshahi,Bangladesh
Dhaka,Dhaka,Bangladesh
Chittagong,Chittagong,Bangladesh
Bridgetown,Saint Michael,Barbados
Baranavichy,Brest,Belarus
Polatsk,Vitsyebsk,Belarus
Maladzyechna,Minsk,Belarus
Pinsk,Brest,Belarus
Mazyr,Homyel',Belarus
Mahilyow,Mahilyow,Belarus
Babruysk,Mahilyow,Belarus
Orsha,Vitsyebsk,Belarus
Lida,Hrodna,Belarus
Hrodna,Hrodna,Belarus
Barysaw,Minsk,Belarus
Homyel,Homyel',Belarus
Vitsyebsk,Vitsyebsk,Belarus
Brest,Brest,Belarus
Minsk,Minsk,Belarus
Mons,Hainaut,Belgium
Hasselt,Limburg,Belgium
Arlon,Arlon,Belgium
Gent,East Flanders,Belgium
Liege,Liege,Belgium
Brugge,Brugge,Belgium
Namur,Namur,Belgium
Charleroi,Charleroi,Belgium
Antwerpen,Antwerp,Belgium
Brussels,Brussels,Belgium
El Cayo,Cayo,Belize
Corozal,Corozal,Belize
Dangriga,Stann Creek,Belize
Belize City,Belize,Belize
Orange Walk,Orange Walk,Belize
Punta Gorda,Toledo,Belize
Belmopan,Cayo,Belize
Lokossa,Mono,Benin
Kandi,Alibori,Benin
Ouidah,Atlantique,Benin
Abomey,Zou,Benin
Natitingou,Atakora,Benin
Djougou,Donga,Benin
Parakou,Borgou,Benin
Porto-Novo,Ouémé,Benin
Cotonou,Ouémé,Benin
Paro,Thimphu,Bhutan
Punakha,Punakha,Bhutan
Wangdue Prodrang,Wangdi Phodrang,Bhutan
Thimphu,Thimphu,Bhutan
Punata,Cochabamba,Bolivia
Cliza,Cochabamba,Bolivia
Quillacollo,Cochabamba,Bolivia
Puerto Villarroel,Cochabamba,Bolivia
Tarabuco,Chuquisaca,Bolivia
Guayaramerin,El Beni,Bolivia
Santa Ana,El Beni,Bolivia
Baures,El Beni,Bolivia
Sica Sica,La Paz,Bolivia
Rurrenabaque,La Paz,Bolivia
Sorata,La Paz,Bolivia
Achacachi,La Paz,Bolivia
Viacha,La Paz,Bolivia
Quime,La Paz,Bolivia
Llallagua,Potosí,Bolivia
Uncia,Potosí,Bolivia
Uyuni,Potosí,Bolivia
Villa Martin,Potosí,Bolivia
Betanzos,Potosí,Bolivia
Portachuelo,Santa Cruz,Bolivia
Samaipata,Santa Cruz,Bolivia
Cuevo,Santa Cruz,Bolivia
San Carlos,Santa Cruz,Bolivia
San Lorenzo,Tarija,Bolivia
Entre Rios,Tarija,Bolivia
Aiquile,Cochabamba,Bolivia
Padilla,Chuquisaca,Bolivia
Camargo,Chuquisaca,Bolivia
Reyes,El Beni,Bolivia
San Borja,El Beni,Bolivia
Magdalena,El Beni,Bolivia
San Ramon,El Beni,Bolivia
Puerto Heath,La Paz,Bolivia
Charana,La Paz,Bolivia
Puerto Acosta,La Paz,Bolivia
Apolo,La Paz,Bolivia
Coroico,La Paz,Bolivia
Coro Coro,La Paz,Bolivia
Sabaya,Oruro,Bolivia
Challapata,Oruro,Bolivia
Llica,Potosí,Bolivia
Potosi,Potosí,Bolivia
Villazon,Potosí,Bolivia
Tupiza,Potosí,Bolivia
Montero,Santa Cruz,Bolivia
Piso Firme,Santa Cruz,Bolivia
Robore,Santa Cruz,Bolivia
Puerto Quijarro,Santa Cruz,Bolivia
San Ignacio,Santa Cruz,Bolivia
Ascension,Santa Cruz,Bolivia
San Javier,Santa Cruz,Bolivia
San Rafael,Santa Cruz,Bolivia
Vallegrande,Santa Cruz,Bolivia
Puerto Suarez,Santa Cruz,Bolivia
Charagua,Santa Cruz,Bolivia
Villamontes,Tarija,Bolivia
Bermejo,Tarija,Bolivia
Cochabamba,Cochabamba,Bolivia
Oruro,Oruro,Bolivia
Camiri,Santa Cruz,Bolivia
Cobija,Pando,Bolivia
San Matias,Santa Cruz,Bolivia
San Jose,Santa Cruz,Bolivia
Trinidad,El Beni,Bolivia
Tarija,Tarija,Bolivia
Sucre,Chuquisaca,Bolivia
Riberalta,El Beni,Bolivia
La Paz,La Paz,Bolivia
Santa Cruz,Santa Cruz,Bolivia
Zenica,Zenica-Doboj,Bosnia and Herzegovina
Mostar,Herzegovina-Neretva,Bosnia and Herzegovina
Tuzla,Tuzla,Bosnia and Herzegovina
Prijedor,Serbian Republic,Bosnia and Herzegovina
Banja Luka,Serbian Republic,Bosnia and Herzegovina
Sarajevo,Sarajevo,Bosnia and Herzegovina
Mochudi,Kgatleng,Botswana
Ghanzi,Ghanzi,Botswana
Lokhwabe,Kgalagadi,Botswana
Lehututu,Kgalagadi,Botswana
Tshabong,Kgalagadi,Botswana
Tsau,North-West,Botswana
Nokaneng,North-West,Botswana
Mohembo,North-West,Botswana
Maun,North-West,Botswana
Kasane,North-West,Botswana
Nata,Central,Botswana
Mopipi,Central,Botswana
Palapye,Central,Botswana
Lobatse,South-East,Botswana
Kanye,Southern,Botswana
Molepolole,Kweneng,Botswana
Francistown,Central,Botswana
Mahalapye,Central,Botswana
Serowe,Central,Botswana
Gaborone,South-East,Botswana
Grajau,Maranhão,Brazil
Presidente Dutra,Maranhão,Brazil
Itapecuru Mirim,Maranhão,Brazil
Sao Jose de Ribamar,Maranhão,Brazil
Santa Ines,Maranhão,Brazil
Rosario,Maranhão,Brazil
Timon,Maranhão,Brazil
Capanema,Pará,Brazil
Portel,Pará,Brazil
Itupiranga,Pará,Brazil
Pimenta Bueno,Rondônia,Brazil
Ponta Pora,Mato Grosso do Sul,Brazil
Maracaju,Mato Grosso do Sul,Brazil
Jardim,Mato Grosso do Sul,Brazil
Tres Lagoas,Mato Grosso do Sul,Brazil
Guanhaes,Minas Gerais,Brazil
Leopoldina,Minas Gerais,Brazil
Nova Lima,Minas Gerais,Brazil
Pouso Alegre,Minas Gerais,Brazil
Itauna,Minas Gerais,Brazil
Caratinga,Minas Gerais,Brazil
Diamantina,Minas Gerais,Brazil
Nanuque,Minas Gerais,Brazil
Barbacena,Minas Gerais,Brazil
Pocos de Caldas,Minas Gerais,Brazil
Guaxupe,Minas Gerais,Brazil
Sao Joao del Rei,Minas Gerais,Brazil
Muriae,Minas Gerais,Brazil
Passos,Minas Gerais,Brazil
Conselheiro Lafaiete,Minas Gerais,Brazil
Formiga,Minas Gerais,Brazil
Frutal,Minas Gerais,Brazil
Iturama,Minas Gerais,Brazil
Ituiutaba,Minas Gerais,Brazil
Araguari,Minas Gerais,Brazil
Almenara,Minas Gerais,Brazil
Varzea Grande,Mato Grosso,Brazil
Caceres,Mato Grosso,Brazil
Santana do Livramento,Rio Grande do Sul,Brazil
Canoas,Rio Grande do Sul,Brazil
Quarai,Rio Grande do Sul,Brazil
Santa Vitoria do Palmar,Rio Grande do Sul,Brazil
Sao Lourenco do Sul,Rio Grande do Sul,Brazil
Canela,Rio Grande do Sul,Brazil
Sao Gabriel,Rio Grande do Sul,Brazil
Rosario do Sul,Rio Grande do Sul,Brazil
Cachoeira do Sul,Rio Grande do Sul,Brazil
Osorio,Rio Grande do Sul,Brazil
Santa Cruz do Sul,Rio Grande do Sul,Brazil
Sao Luiz Gonzaga,Rio Grande do Sul,Brazil
Santo Angelo,Rio Grande do Sul,Brazil
Carazinho,Rio Grande do Sul,Brazil
Erechim,Rio Grande do Sul,Brazil
Guaira,Paraná,Brazil
Palmas,Paraná,Brazil
Arapongas,Paraná,Brazil
Paranagua,Paraná,Brazil
Sao Jose dos Pinhais,Paraná,Brazil
