countryname,demonym
Parthia,Parthian
Pomerania,Pomeranian
Prussia,Prussian
Rhodesia,Rhodesian
Rome,Roman
Siam,Siamese
Sudetenland,Sudetes
Sumer,Sumerian
Soviet Union,Soviet
Swabia,Swabian
Transylvania,Transylvanian
Two Sicilies,Duosicilian
Wallachia,Wallachian
Yugoslavia,Yugoslav
Zaire,Zairean
Zululand,Zulu
